AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4 
11.301897401397, 23.1654288963682,30,6.15433899235317, 8.59205430325266,7.917728658151, 16.212237927658,7.12766951799643, 9.72382450176545,0, 0,4.44537952004361, 8.86768274936058,2.98867269920843, 4.70847529883344,
12.5891482520615, 28.323071239074,14,4.71465524366782, 7.05351276031679,14.6805902997336, 12.6598837125692,10.5981388206755, 14.7383546498587,0, 0,4.67006431815387, 10.5039137155645,3.16755378113912, 4.64747190695621,
22.8753829346605, 25.1694612440028,8,5.24974772574511, 7.66435718964848,13.2453690559103, 11.782072624713,9.92236434016882, 14.3432795714437,0, 0,5.90160368315627, 10.0177512830669,3.4379608312817, 5.00979098966782,
19.8938914414173, 22.4621800615393,8,4.20867068807533, 9.95148623166383,11.5449948393555, 16.776086963356,11.6734171877164, 10.9370799989493,0, 0,6.61461678788548, 10.779688127048,2.63783568727092, 4.19632713408061,
13.6054539432793, 20.240153597047,28,7.59684868811103, 9.75064913639454,14.7666163224886, 18.0156489123042,4.34829074594123, 7.10764478879401,0, 0,8.68188237719841, 11.8231210472528,1.11671459563988, 3.13169957416519,
13.1845633237253, 14.413325747611,10,7.83344366039572, 8.79408915217944,11.4248653010725, 15.8560981990615,9.32854552000452, 13.4865076484617,0.92275435622435, 1.19414302362217,6.96156419011761, 10.3643546916342,3.2770270216259, 6.1558434055122,
18.6273992210811, 12.547213944546,7,8.4491903051136, 10.3907609892045,5.83225568980694, 11.5537431869861,11.1471956991357, 14.832770439278,0.972895407748625, 1.15300200059168,9.09343044435448, 10.0218655779497,3.06625342573213, 6.40981129391636,
22.4432597084914, 19.1014093771666,7,6.57346230676048, 9.79065147451789,6.83779613688154, 15.5910171280305,6.51903072187286, 13.5295128352417,0, 0,8.98037502546295, 10.4613051439031,2.73607729079408, 5.56689660709755,
11.2614145537932, 17.2221553037094,6,7.09963054801325, 9.12000630751185,7.22243698955995, 15.3422390856128,14.7893693581961, 18.6712154410663,0, 0,10.6058870593352, 7.76955842329358,3.37241528988279, 5.1358743399435,
17.0043217614433, 15.9764726948255,4,7.51006695908111, 10.3189559064336,3.80875548633766, 6.72079665884174,15.5523696802557, 21.5282848125736,0, 0,9.19214230568516, 10.4963831344456,2.70522800622788, 4.41220057940061,
19.2570393630319, 27.3378942757062,26,7.34984526272049, 9.98148806202088,2.66668804253629, 5.77623088601803,18.20810801588, 19.1071421425616,0, 0,6.67182746160448, 10.3893726823106,3.2977717623202, 5.62100999444303,
47.3936464139624, 27.5639890159054,12,10.9203289475216, 9.21170251376092,3.96776000941395, 5.81163662007403,19.0381290381324, 16.6369486941696,0, 0,10.7099339429341, 11.2021576476763,3.81194901527685, 6.18897435114751,
60.7663181178364, 26.5108590474016,12,14.0950190547738, 7.79546623275223,4.08746585229423, 5.63588315696013,19.9143703154823, 15.008085080341,0, 0,14.1783168832789, 9.71981749937286,2.3116910364134, 6.41123106259026,
57.96159189326, 25.6312478313549,12,13.276537519465, 8.21604859986222,2.02121786235621, 2.76274772575806,18.4927726027069, 16.695331501581,0, 0,14.6840318772664, 9.22534424114048,2.6470070098294, 5.4044495999864,
44.5275845470757, 27.3380236101302,12,9.87104060514077, 8.72200764537927,2.81301872351828, 3.6653662759445,19.810969330349, 18.6425018228461,0, 0,9.57754457984922, 8.95225415465706,2.91514323174262, 4.29895634002597,
