AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4 
25.3517248797435, 31.2351929563276,12,10.4306111008058, 11.8897356934912,8.38987123920354, 12.8560269408235,26.2786120999464, 28.4313336595416,3.81217157601835, 6.49217388529387,8.37877274915649, 13.2996719509942,6.93881784656319, 13.6257116117814,
19.4862620493797, 34.4952643056663,36,8.97056009465263, 11.9251788878315,7.93024045095107, 13.3708603260983,20.0058200630521, 25.0726536253817,4.15056610255732, 7.55812976229567,8.07284619599652, 13.4984905703073,8.34855124464733, 12.1285012400368,
20.0733300983718, 32.30138939578,16,28.9937923328816, 16.015930228248,20.9144580737651, 12.2085797517573,21.6074876214934, 32.2147282182822,7.09082583259107, 6.96304493195587,26.5832086644045, 14.0681395280343,20.9105811632209, 11.2559917961009,
31.827235439379, 44.712320470338,12,38.8125943893374, 25.7448317227782,29.4795785884919, 26.809978516303,22.4993634926195, 30.6010423960965,10.5461161687475, 13.3774238047242,29.7436037308908, 22.0174097633572,27.6265979072474, 26.6034496076764,
38.2657025759547, 53.0498372396907,12,40.9134812274841, 30.4260239654327,26.9061679490732, 33.5353166674243,35.5450729031992, 31.0855856265777,12.0517437511616, 13.2819112465002,31.4711210632033, 16.2973901466357,26.7586915067081, 31.2759901474128,
35.8186440350509, 37.1883712330637,4,43.2425774581082, 41.8556139730057,32.7360307168074, 40.3052565943655,39.731542010391, 25.1097068045719,10.6175872616074, 14.7439451458558,40.3600356445075, 31.2694720306666,32.8924503907945, 37.1055816928482,
31.6404394934833, 38.9395704737977,9,19.422343131915, 31.9485043882648,16.6873033298795, 26.9888557796042,33.0827472680933, 32.2545438412856,8.88598203978592, 13.994416806293,17.2908228845134, 23.4260319314675,17.8201297931762, 24.9463473802148,
33.6717739009542, 34.99450941537,12,31.5205519501064, 38.8597042819397,20.7469731074809, 31.1889944840868,20.1797827740495, 28.9645699018424,8.80680414694205, 8.82453277241797,27.5615861871656, 34.5755163182845,20.8261986719023, 28.9405241644066,
28.4391738119317, 24.5398929997296,7,12.3557242161816, 12.2726994135726,12.1671195191462, 11.7932062464228,22.1670378088815, 27.2131029037364,1.06151605032003, 1.81471440559718,12.383113092832, 9.3135788404428,9.75198456893756, 8.66227909753731,
26.6073898281705, 27.363705030533,11,7.39437954743205, 12.887759393709,6.82814113484941, 8.76360937556512,42.8902457672466, 37.2995461919553,0, 0,3.9687651484703, 7.68240166216725,3.26511549019794, 5.92174950059636,
17.3093418571442, 31.0103310531646,5,7.23310291297118, 12.3555726419279,6.01963350420984, 10.1641777042605,33.7010926440762, 31.465554657499,0, 0,3.70023044642627, 6.88813861466743,2.97281189126606, 5.452771928767,
22.329106268006, 35.5180530289544,13,7.61556103181494, 10.9115810405193,6.32530879009781, 7.84916755123215,60.8335899819944, 47.0104996216828,0.101355053210488, 0.192307692307471,3.02112013899833, 8.58299027919427,2.32636238816603, 6.2514791063397,
40.1409111062088, 31.732008430575,12,5.65470439143194, 10.4377890991371,6.86854277325927, 6.95656291822509,58.3096285154615, 49.6775526557117,2.33037606545107, 3.56370929367652,4.34219283344153, 8.34916919208723,3.53828784365705, 8.02350685404375,
