boredom, excitement, frustration, meditation, act_boredom, act_excitement, act_frustration, act_meditation
0,0,0,0,False,False,True,True,
-0.64404,0.0238122,0,0.09,False,True,True,False,
-0.64404,0.0238122,0,0.09,False,True,True,True,
-0.579636,0.0238122,0,0.081,False,False,True,False,
-0.579636,0.0238122,0,0.081,False,False,True,True,
-0.5574524,0.0238122,0,0.0779,False,False,True,False,
-0.5574524,0.0238122,0,0.0779,False,False,True,True,
-0.57326716,0.0238122,0,0.08011,False,False,True,False,
-0.57326716,0.0238122,0,0.08011,False,False,True,True,
-0.587500444,0.0238122,0,0.082099,False,False,True,False,
-0.587500444,0.0238122,0,0.082099,False,False,True,True,
-0.6003103996,0.0238122,0,0.0838891,False,False,True,False,
-0.6003103996,0.0238122,0,0.0838891,False,False,True,True,
-0.61183935964,0.0238122,0,0.08550019,False,False,True,False,
-0.61183935964,0.0238122,0,0.08550019,False,False,True,True,
-0.622215423676,0.0238122,0,0.086950171,False,False,True,False,
-0.622215423676,0.0238122,0,0.086950171,False,False,True,True,
-0.6315538813084,0.0238122,0,0.0882551539,False,False,True,False,
-0.6315538813084,0.0238122,0,0.0882551539,False,False,True,True,
-0.63995849317756,0.0238122,0,0.08942963851,False,False,True,False,
-0.63995849317756,0.0238122,0,0.08942963851,False,False,True,True,
-0.647522643859804,0.0238122,0,0.090486674659,False,False,True,False,
-0.647522643859804,0.0238122,0,0.090486674659,False,False,True,True,
-0.654330379473823,0.0238122,0,0.0914380071931,False,False,True,False,
-0.654330379473823,0.0238122,0,0.0914380071931,False,False,True,True,
-0.660457341526441,0.0238122,0,0.09229420647379,False,False,True,False,
-0.660457341526441,0.0238122,0,0.09229420647379,False,False,True,True,
-0.665971607373797,0.0238122,0,0.093064785826411,False,False,True,False,
-0.665971607373797,0.0238122,0,0.093064785826411,False,False,True,True,
-0.670934446636417,0.0238122,0,0.0937583072437699,False,False,True,False,
-0.670934446636417,0.0238122,0,0.0937583072437699,False,False,True,True,
-0.675401001972775,0.0238122,0,0.0943824765193929,False,False,True,False,
-0.675401001972775,0.0238122,0,0.0943824765193929,False,False,True,True,
-0.679420901775498,0.0238122,0,0.0949442288674536,False,False,True,False,
-0.679420901775498,0.0238122,0,0.0949442288674536,False,False,True,True,
-0.683038811597948,0.0238122,0,0.0954498059807082,False,False,True,False,
-0.683038811597948,0.0238122,0,0.0954498059807082,False,False,True,True,
-0.686294930438153,0.0238122,0,0.0959048253826374,False,False,True,False,
-0.686294930438153,0.0238122,0,0.0959048253826374,False,False,True,True,
-0.689225437394338,0.0238122,0,0.0963143428443737,False,False,True,False,
-0.689225437394338,0.0238122,0,0.0963143428443737,False,False,True,True,
-0.691862893654904,0.0238122,0,0.0966829085599363,False,False,True,False,
-0.691862893654904,0.0238122,0,0.0966829085599363,False,False,True,True,
-0.694236604289414,0.0238122,0,0.0970146177039427,False,False,True,False,
-0.694236604289414,0.0238122,0,0.0970146177039427,False,False,True,True,
-0.696372943860472,0.0238122,0,0.0973131559335484,False,False,True,False,
-0.696372943860472,0.0238122,0,0.0973131559335484,False,False,True,True,
-0.698295649474425,0.0238122,0,0.0975818403401935,False,False,True,False,
-0.698295649474425,0.0238122,0,0.0975818403401935,False,False,True,True,
-0.700026084526982,0.0238122,0,0.0978236563061742,False,False,True,False,
-0.700026084526982,0.0238122,0,0.0978236563061742,False,False,True,True,
-0.701583476074284,0.0238122,0.464477092027664,0.0980412906755568,False,False,True,False,
-0.701583476074284,0.0238122,0.464477092027664,0.0980412906755568,False,False,True,True,
-0.702985128466856,0.0238122,0.882506430149078,0.0982371616080011,False,False,True,False,
-0.702985128466856,0.0238122,0.882506430149078,0.0982371616080011,False,False,True,True,
-0.70424661562017,0.0238122,1.25873291492462,0.098413445447201,False,False,True,False,
-0.70424661562017,0.0238122,1.25873291492462,0.098413445447201,False,False,True,True,
-0.705381954058153,0.0238122,1.59733664989471,0.0985721009024809,False,False,True,False,
-0.705381954058153,0.0238122,1.59733664989471,0.0985721009024809,False,False,True,True,
-0.706403758652338,0.0238122,1.90208005905151,0.0987148908122328,False,False,True,False,
-0.706403758652338,0.0238122,1.90208005905151,0.0987148908122328,False,False,True,True,
-0.707323382787104,0.0238122,2.17634916305542,0.0988434017310095,False,False,True,False,
