OpenEye, AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4, AlphaFC5, BetaFC5, AlphaFC6, BetaFC6, AlphaP7, BetaP7, AlphaP8, BetaP8, AlphaT7, BetaT7, AlphaT8, BetaT8 
True,20.1715301078249, 30.5741802168342,32,3.8394238902802, 7.36171359595484,5.2599406383476, 8.11039884344357,30.9830275987912, 31.9815725146415,0, 0,4.60470190418954, 11.7963801711008,3.88583467176483, 6.73544737526621,7.11788234527988, 8.08873288013974,0, 0,23.9391997029822, 32.1933308791266,25.435969459182, 34.1064136415843,21.4289226176949, 66.0077208337974,28.8210135924477, 55.0033483005935,
True,20.0412836144748, 23.464811284681,12,4.03072153313238, 7.38053578277008,5.43109683317867, 6.37005794091441,37.5538250517349, 35.3604377774641,0, 0,4.35885809206546, 10.3022308512168,4.00176623204205, 7.28985201751938,6.33685069774247, 8.53187942839604,0, 0,25.4965409847145, 35.3412386881825,28.3643785439105, 31.6037310270781,32.6802598157856, 61.6286854753363,44.1794382037245, 65.2035361585827,
True,12.6348586289037, 25.9045348484468,6,3.18229879158444, 7.47280948074521,5.87372032999969, 5.51853815100045,46.9619880939758, 34.5024914159772,0, 0,5.22033526745914, 8.59688072276941,1.93340385572994, 6.11929475217373,6.70791044728752, 9.44305547910487,0, 0,13.1370275952421, 34.564324156579,26.1629629048525, 37.7615759052794,33.5031636103516, 59.7953268162209,49.4978264901358, 74.2910497967288,
True,12.9370939208148, 31.6593409225355,22,3.07805871874102, 7.01555922841853,4.89653894342954, 5.95488734454968,42.5274650608366, 37.3188611426348,0, 0,5.4171654037939, 9.5880555479673,2.83280640669199, 5.37383606258298,5.999455653685, 10.6956939975729,0, 0,16.2596865750152, 29.6704097903353,22.0694786712135, 37.5977926300311,37.4375678399291, 68.936669390122,31.646045856641, 62.2939423563615,
True,19.2585989661278, 31.8957866997193,22,3.14114628879735, 7.23033646269802,3.31501499817361, 4.48778629338949,34.935805693669, 28.8470868004273,0, 0,3.19066430380355, 8.38501283757303,3.94637402186976, 5.08419530859682,6.35708775049093, 10.4491489541631,0, 0,27.3678117962785, 34.8548102159625,25.7537756451321, 35.0789947645556,32.8005926061801, 67.2047435929329,24.5774899673488, 53.7703402267775,
True,17.2162088937452, 26.9895574762591,4,3.4401712246228, 7.36654940731242,2.95038885199142, 7.58204271630166,33.4692514688003, 32.2668802142096,0, 0,3.937578834533, 7.02152187348493,2.48332983139456, 5.64810247710223,5.80584996921499, 10.5678257701235,0, 0,25.2512465224373, 33.0932226729658,23.6850684381627, 37.4016195227811,27.4634057650281, 51.5658122538314,35.9105605676657, 61.6331452839624,
True,19.2579374371268, 23.7934560675447,10,3.83488579532471, 8.96455444700311,5.41148373431817, 8.00752315805373,31.7331396240283, 37.3847142384447,0, 0,4.82564935822533, 6.75213005296307,3.6961786248962, 5.55553026236602,10.2565881803234, 11.5691219472546,0, 0,20.1803466832542, 29.0113597139754,21.0597659781345, 33.2373104320685,30.9335490154188, 50.4402027546187,37.3686204857498, 58.6614177097995,
True,24.7980583283017, 23.7927849143737,12,3.20196603002719, 9.74770533468802,6.51194885699712, 9.02322143115886,29.2158643786901, 28.2743605122029,1.5032384674891, 0.986365226808232,4.25886691209572, 5.49675869267348,3.666599639661, 6.72564778982639,10.7797328805756, 11.8625737010747,0, 0,20.5053649950988, 28.4369549861087,18.5576674628067, 27.6155599031334,38.5110509682523, 57.0100799627,27.7628058959542, 59.6245914093949,
True,22.9251365399969, 26.8948845726198,24,4.67763666809609, 9.49430822196409,4.59585002956574, 9.71009925220918,36.7392172673937, 27.2788487982175,1.26889806255012, 1.11170918254797,3.56098783782755, 7.49013263740092,2.74433146535557, 5.93290804511861,7.39134282311842, 9.7897845015769,0, 0,16.0130372821642, 30.4317507665091,20.4040990392953, 29.8254305784202,34.8725624664374, 58.6262569560314,27.2707539941432, 58.6522992034239,
True,19.5889216471002, 24.6379854707412,8,5.85718664346221, 9.58771918598449,2.772891015875, 7.54241212910259,23.664742054342, 22.8029659785069,0, 0,3.54488608287629, 8.62534707622513,2.80161121786452, 5.42531484203932,6.1613296685797, 10.0852229369286,0, 0,18.757371178512, 34.8584217069109,18.2743644441478, 29.9138515115246,29.8567589761615, 50.5443631608694,20.3847118500102, 56.5577153266158,
