AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4 
24.9901198366366, 22.7693349865478,8,2.89347304533445, 3.79848932905181,7.71943516770439, 11.016052084493,3.97141228214001, 6.94671189206849,0, 0,3.77159868439602, 5.07882304339547,3.85469756891828, 3.85150779100695,
11.0990497156598, 19.8722674734101,4,2.67977261514339, 2.85513291374036,7.85818968315742, 10.5476752063775,3.07612602225188, 5.51988055415123,0, 0,3.9727030234242, 5.92188257517233,4.96647051528565, 7.09561793568561,
15.4993777137667, 29.0739576525819,11,0.917336022299386, 1.16688914473358,7.65880670975176, 10.7437934867626,4.33996625123464, 8.32660218450843,0, 0,1.76045640839058, 7.03901550781184,5.82514512591954, 7.02425268415182,
24.812430961138, 29.1251661796854,11,0.580355985559017, 1.60190725800931,10.0150840821685, 10.7786120634125,6.51209003560983, 9.44045468148656,0, 0,2.67328379884742, 6.63533455621665,2.10060089495616, 4.54015996870116,
22.047669708491, 24.4376549083641,10,1.87859758278898, 2.31486162963946,8.60669808976215, 10.3349888889306,12.1193408757744, 13.8433475885767,0, 0,2.04030022726805, 5.17387428370877,2.72343417716693, 4.9398835545046,
15.5421190548583, 20.8347206543725,5,2.60529418974517, 2.27158318432733,6.47867543120896, 9.38670312092187,13.4174075521445, 18.8537024359085,0, 0,2.38461878964488, 4.63570292643347,2.27283295674788, 5.04383719134417,
18.0345393306577, 22.2932659388444,10,2.42090505459459, 2.20726427306733,5.44292741335844, 10.2043157515941,11.3178886418461, 19.6119563571919,0, 0,3.10476065549692, 4.40122787003116,1.05018634892199, 3.68246721819187,
21.4202733347308, 27.1969639270343,11,2.00764477212279, 1.56801861422942,5.68471270529419, 11.032370613609,5.90834804634014, 17.8676415468138,0, 0,3.68728376576361, 3.479444041518,2.07943552066775, 4.92309391195925,
44.3114165760786, 22.9396432986418,12,2.3438947676062, 1.88222455243556,5.21779486083851, 9.37052841277462,8.51711591922626, 13.6019795644232,0, 0,2.44678636836284, 3.9400275552579,1.93038974766659, 5.34717439509835,
54.7844331115237, 29.507173037076,12,3.03388892475968, 1.961151872119,4.82543482979101, 8.7181028808432,9.64128066228548, 10.8084899092113,0, 0,2.86668191834376, 4.19461413090935,2.55636970869155, 4.51959543604445,
51.5099404172348, 30.650191749451,12,2.34408339731885, 2.51837130836171,4.36631283302848, 11.3336269283442,9.1612774281051, 10.2246646318636,0, 0,3.26386996337832, 4.02154977211294,3.18276295582623, 4.66806022192035,
31.7298838458628, 28.9278861485768,11,2.27454882996486, 2.52831394817795,6.6776219361705, 13.0379439240756,14.0956007934209, 15.5696071534643,0, 0,2.10669276223498, 3.37608496318268,2.10923576517696, 4.39601572633822,
14.8011447307767, 25.9331182384684,7,1.38788550858702, 2.3323359757771,8.59208955046307, 15.2387468310978,15.1342744319099, 17.8814344816187,0, 0,2.29370955127872, 4.79530701860256,1.98923091797281, 4.28798117903451,
14.9642258976785, 21.7222086918338,5,1.03811651669235, 1.83195859860929,5.96459828001713, 13.4859360749267,14.0968836091266, 15.7679397066248,0, 0,2.15701119781416, 5.1299829553765,1.75624711858421, 4.48436141019498,
16.2429187180905, 22.2861728633634,4,0.575641080920577, 1.14284648738125,4.25381351444521, 11.1340313497719,8.73890674012968, 14.8462263226245,0, 0,1.79243442749036, 4.66665640783551,3.86071145293405, 5.32876610202121,
21.8819502254052, 26.5555066422986,7,7.83975773603624, 9.25886951446932,5.01234884354805, 11.160276226269,15.8945451510838, 10.9623968711341,0, 0,7.35464031877755, 6.71646713036627,3.3064654663153, 5.8076807609802,
21.0397143473378, 38.1025807476244,4,11.8981660742564, 11.3509326911615,5.11913154465315, 11.1377747687355,10.9477080979228, 11.6623385802078,5.9390316419907, 7.7316586340046,9.05231189397669, 7.84709891596038,7.50248892673902, 11.8954690014633,
24.5066302414545, 40.2956668451506,5,9.42608700005662, 13.2046913720828,5.96853029020903, 8.73331121627078,8.59016882787409, 14.7989775607046,6.62133248148992, 8.58418865145821,11.1623801322567, 12.7358171010006,11.3034432130823, 17.6090444738999,
17.4363610063187, 24.3376666789639,8,16.2241720217444, 18.2369589625628,6.02277333680705, 12.0941560982177,5.85955411411416, 11.4959683611804,3.40417923090778, 4.85574242072765,9.26237954464128, 7.71024363181223,9.02976649906749, 17.6455501395524,
10.7484294766866, 28.9522852668288,18,12.5569124010967, 15.6677767834843,9.22636028102688, 12.2978032268214,4.792640150507, 9.17062778067489,1.55274222382229, 2.41124065403045,9.03392610731629, 7.04927399860833,8.24654060043116, 10.1216410753363,
13.4704853866406, 25.335475458792,4,1.2794477163113, 1.60622040963284,6.28860678558561, 12.3791309908351,5.03950237863507, 6.75172831093759,1.13693259739662, 1.4184738869261,2.85780306371449, 5.74010707008538,2.98828860789226, 5.14134229444832,
33.9561441842765, 31.2181659791743,11,1.27576152843133, 1.52748306171787,6.56080062677742, 10.939541762839,8.88763090317674, 11.9745573243901,0, 0,1.8193413335923, 4.02330248638107,2.55543015029797, 4.42837508213908,
