COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
100,0,0,4166.66666666667,4009.74358974359,4212.82051282051,4313.84615384615,4120,4621.53846153846,4405.64102564103,4317.94871794872,4406.15384615385,4538.97435897436,4371.28205128205,3988.20512820513,4101.02564102564,4512.82051282051,1665,1691,0.096,0.0312768779695034,0,0,0,0,
101,0,0,4166.15384615385,4012.82051282051,4212.82051282051,4312.30769230769,4120.51282051282,4624.10256410256,4405.12820512821,4320.51282051282,4408.20512820513,4540,4370.25641025641,3989.23076923077,4097.94871794872,4515.38461538462,1665,1691,0.104,0.0312768779695034,0,0,0,0,
102,0,0,4166.66666666667,4012.30769230769,4208.20512820513,4314.8717948718,4122.5641025641,4626.15384615385,4409.23076923077,4325.64102564103,4412.30769230769,4547.17948717949,4369.23076923077,3981.53846153846,4095.38461538462,4512.30769230769,1665,1690,0.113,0.0312768779695034,0,0,0,0,
103,0,0,4168.20512820513,4007.69230769231,4207.69230769231,4311.79487179487,4121.53846153846,4621.53846153846,4405.12820512821,4319.48717948718,4410.25641025641,4546.15384615385,4373.33333333333,3984.10256410256,4099.48717948718,4515.38461538462,1665,1691,0.122,0.0312768779695034,0,0,0,0,
104,0,0,4166.15384615385,4008.71794871795,4210.76923076923,4310.25641025641,4124.61538461538,4623.58974358974,4401.02564102564,4313.84615384615,4407.69230769231,4538.46153846154,4374.35897435897,3991.79487179487,4098.97435897436,4512.82051282051,1665,1692,0.129,0.0312768779695034,0,0,0,0,
105,0,0,4162.5641025641,4011.79487179487,4209.74358974359,4314.8717948718,4123.58974358974,4624.10256410256,4404.10256410256,4317.94871794872,4406.15384615385,4540,4369.74358974359,3991.79487179487,4097.94871794872,4507.69230769231,1666,1690,0.136,0.0312768779695034,0,0,0,0,
106,0,0,4166.66666666667,4010.76923076923,4207.69230769231,4315.89743589744,4116.41025641026,4623.07692307692,4406.15384615385,4321.02564102564,4407.17948717949,4545.12820512821,4373.33333333333,3990.76923076923,4101.02564102564,4511.28205128205,1664,1692,0.143,0.0312768779695034,0,0,0,0,
107,0,0,4171.28205128205,4008.20512820513,4210.76923076923,4312.30769230769,4118.46153846154,4623.07692307692,4403.58974358974,4316.41025641026,4409.74358974359,4544.61538461538,4377.94871794872,3990.25641025641,4102.5641025641,4517.4358974359,1666,1691,0.151,0.0312768779695034,0,0,0,0,
108,0,0,4169.23076923077,4009.74358974359,4213.33333333333,4313.84615384615,4125.64102564103,4620.51282051282,4402.5641025641,4316.41025641026,4412.30769230769,4543.07692307692,4373.84615384615,3989.74358974359,4101.02564102564,4513.33333333333,1665,1692,0.159,0.0312768779695034,0,0,0,0,
109,0,0,4167.17948717949,4013.33333333333,4210.25641025641,4315.89743589744,4124.10256410256,4620,4403.58974358974,4320.51282051282,4411.28205128205,4543.58974358974,4370.76923076923,3991.28205128205,4100,4508.71794871795,1665,1692,0.167,0.0312768779695034,0,0,0,0,
110,0,0,4167.69230769231,4011.28205128205,4208.71794871795,4314.8717948718,4120,4623.58974358974,4404.10256410256,4318.46153846154,4407.69230769231,4542.5641025641,4373.84615384615,3990.76923076923,4098.97435897436,4511.28205128205,1665,1691,0.175,0.0312768779695034,0,0,0,0,
111,0,0,4167.17948717949,4007.17948717949,4211.28205128205,4314.35897435897,4121.53846153846,4624.61538461538,4407.69230769231,4319.48717948718,4410.25641025641,4541.53846153846,4373.33333333333,3986.66666666667,4096.92307692308,4509.23076923077,1666,1691,0.182,0.0312768779695034,0,0,0,0,
